record_type,original_path,port_paths,status,application_status,priority,original_sha1,original_sha256,port_sha1,reference_count,references,byte_exact_core_copy_count,byte_exact_shipped_count,notes,original_width,original_height,original_mode,original_bit_depth_estimate,original_has_alpha,original_alpha_min,original_alpha_max,original_transparent_pixels,original_partial_alpha_pixels,original_parse,original_frametime,original_interpolate,original_explicit_frames,original_frame_spec
ORIGINAL,textures/aspects/_back.png,original/thaumcraft4/aspects/_back.png,MATCH,USED,P2,fb8be463fa5c9db6e177feb380f006818347e064,12db92cb8423cdb091a2325477271f8d3ebd3d53320d0af86b8fba7d0a140aba,fb8be463fa5c9db6e177feb380f006818347e064,2,original/thaumcraft4/aspects/_back.png:2,0,1,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,64,64,RGBA,32,True,0,181,328,3768,,,,,
ORIGINAL,textures/aspects/_unknown.png,original/thaumcraft4/aspects/_unknown.png,MATCH,USED,P2,8dc1da9fe9e65a31c1505e02b83e2ed9ade12cee,d2e2c5284f3eb607dc9734943f54785a150f9ff01566302a5f151338ccb2d155,8dc1da9fe9e65a31c1505e02b83e2ed9ade12cee,3,original/thaumcraft4/aspects/_unknown.png:3,0,1,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,660,275,,,,,
ORIGINAL,textures/aspects/aer.png,aspects/aer.png | item/aspect_aer.png | original/thaumcraft4/aspects/aer.png,MATCH,USED,P2,18fbd4604033f97d6308f8c6cb4f508e6c5784f0,572e4b1bdc3ef4c525a7bc6f8cdedaa0ac0786841cfbbd7ba914dfc8945cb750,18fbd4604033f97d6308f8c6cb4f508e6c5784f0,4,aspects/aer.png:3 | item/aspect_aer.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,90,790,,,,,
ORIGINAL,textures/aspects/alienis.png,aspects/alienis.png | item/aspect_alienis.png | original/thaumcraft4/aspects/alienis.png,MATCH,USED,P2,1aa68d332ec33a34ed273233cdc0ede26f88afe8,7c10b65637a0d19cf16174006029a65b96265fe6655723a1fb55208cfdf6dd2c,1aa68d332ec33a34ed273233cdc0ede26f88afe8,3,aspects/alienis.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,136,845,,,,,
ORIGINAL,textures/aspects/aqua.png,aspects/aqua.png | item/aspect_aqua.png | original/thaumcraft4/aspects/aqua.png,MATCH,USED,P2,c22353a890bd0aa6e89b3b1afec3cc3230bcd471,541b2fabbf7e259a4310c34af98dc216483fb9532fc090efc65d7a89259ab60e,c22353a890bd0aa6e89b3b1afec3cc3230bcd471,4,aspects/aqua.png:3 | item/aspect_aqua.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,209,737,,,,,
ORIGINAL,textures/aspects/arbor.png,aspects/arbor.png | item/aspect_arbor.png | original/thaumcraft4/aspects/arbor.png,MATCH,USED,P2,795eac94df3b4a829360ba233742ef99e4b44285,69cd10d403c41bf9946d3882ebcd2822a9cd0a912fd4c806729589f2ff674a43,795eac94df3b4a829360ba233742ef99e4b44285,3,aspects/arbor.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,216,584,,,,,
ORIGINAL,textures/aspects/auram.png,aspects/auram.png | item/aspect_auram.png | misc/blank.png | original/thaumcraft4/aspects/auram.png,MATCH,USED,P2,5ba872ba30f8a4041c54e20124a07a61583011f8,86bddcbf7b5ef9fb26cb73d1a0d989c914f18d60912144c3ff78e5dbd7b33930,5ba872ba30f8a4041c54e20124a07a61583011f8,3,aspects/auram.png:3,3,4,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,410,468,,,,,
ORIGINAL,textures/aspects/bestia.png,aspects/bestia.png | item/aspect_bestia.png | original/thaumcraft4/aspects/bestia.png,MATCH,USED,P2,bb6d68468f08a7414c060623e716463361f27ad3,d23a6ffe75659bdcb8f514d63be3797050b63bf646a37f433f44f6b30aa4495c,bb6d68468f08a7414c060623e716463361f27ad3,3,aspects/bestia.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,386,460,,,,,
ORIGINAL,textures/aspects/cognitio.png,aspects/cognitio.png | item/aspect_cognitio.png | original/thaumcraft4/aspects/cognitio.png,MATCH,USED,P2,40b5c1cf00dedaf5f3af7622145f8ba165f1615e,098ffccf1f9c7a9d587b37209879e8ee33b52299690aadfc220177e91dc6d3f4,40b5c1cf00dedaf5f3af7622145f8ba165f1615e,3,aspects/cognitio.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,247,589,,,,,
ORIGINAL,textures/aspects/corpus.png,aspects/corpus.png | item/aspect_corpus.png | original/thaumcraft4/aspects/corpus.png,MATCH,USED,P2,64506b700befa20a66d0bb1a53d198ba735b42ab,363f4fbba7d88cd360ce668e720a9a3d479952235c290d555780057695a5a9d5,64506b700befa20a66d0bb1a53d198ba735b42ab,3,aspects/corpus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,496,339,,,,,
