record_type,port_path,status,classification,priority,sha1,sha256,reference_count,original_paths,notes,width,height,mode,bit_depth_estimate,has_alpha,alpha_min,alpha_max,transparent_pixels,partial_alpha_pixels,parse,frametime,interpolate,explicit_frames,frame_spec
PORT,aspects/aer.png,MATCH,EXACT_TC4_COPY,P2,18fbd4604033f97d6308f8c6cb4f508e6c5784f0,572e4b1bdc3ef4c525a7bc6f8cdedaa0ac0786841cfbbd7ba914dfc8945cb750,3,textures/aspects/aer.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,90,790,,,,,
PORT,aspects/alienis.png,MATCH,EXACT_TC4_COPY,P2,1aa68d332ec33a34ed273233cdc0ede26f88afe8,7c10b65637a0d19cf16174006029a65b96265fe6655723a1fb55208cfdf6dd2c,3,textures/aspects/alienis.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,136,845,,,,,
PORT,aspects/aqua.png,MATCH,EXACT_TC4_COPY,P2,c22353a890bd0aa6e89b3b1afec3cc3230bcd471,541b2fabbf7e259a4310c34af98dc216483fb9532fc090efc65d7a89259ab60e,3,textures/aspects/aqua.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,209,737,,,,,
PORT,aspects/arbor.png,MATCH,EXACT_TC4_COPY,P2,795eac94df3b4a829360ba233742ef99e4b44285,69cd10d403c41bf9946d3882ebcd2822a9cd0a912fd4c806729589f2ff674a43,3,textures/aspects/arbor.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,216,584,,,,,
PORT,aspects/auram.png,MATCH,EXACT_TC4_COPY,P2,5ba872ba30f8a4041c54e20124a07a61583011f8,86bddcbf7b5ef9fb26cb73d1a0d989c914f18d60912144c3ff78e5dbd7b33930,3,textures/aspects/auram.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,410,468,,,,,
PORT,aspects/bestia.png,MATCH,EXACT_TC4_COPY,P2,bb6d68468f08a7414c060623e716463361f27ad3,d23a6ffe75659bdcb8f514d63be3797050b63bf646a37f433f44f6b30aa4495c,3,textures/aspects/bestia.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,386,460,,,,,
PORT,aspects/cognitio.png,MATCH,EXACT_TC4_COPY,P2,40b5c1cf00dedaf5f3af7622145f8ba165f1615e,098ffccf1f9c7a9d587b37209879e8ee33b52299690aadfc220177e91dc6d3f4,3,textures/aspects/cognitio.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,247,589,,,,,
PORT,aspects/corpus.png,MATCH,EXACT_TC4_COPY,P2,64506b700befa20a66d0bb1a53d198ba735b42ab,363f4fbba7d88cd360ce668e720a9a3d479952235c290d555780057695a5a9d5,3,textures/aspects/corpus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,496,339,,,,,
PORT,aspects/exanimis.png,MATCH,EXACT_TC4_COPY,P2,38554abb011653f06ba53fb34d7e753a9108b495,07b87ff10fca2dd083896cd06030439709d6816fae21cb2f1a162c9a7da95974,3,textures/aspects/exanimis.png,Byte-exact copy of an original TC4 asset.,32,32,LA,16,True,0,255,174,626,,,,,
PORT,aspects/fabrico.png,MATCH,EXACT_TC4_COPY,P2,4743e668c28744cac966b7367bbcd1679e3ddd4d,6ab7bcc19e766a4c6924967effcdf86b39787cbf0b29fdf720ff27097cc39d03,3,textures/aspects/fabrico.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,354,541,,,,,
