path,package,class,lines,sha1
thaumcraft/api/BlockCoordinates.java,thaumcraft.api,BlockCoordinates,113,2eda39a6ef7a784695864999ee6b7fc64c4bb131
thaumcraft/api/IArchitect.java,thaumcraft.api,IArchitect,35,b85dbd6719dfb9f318bf1a1fa0f973295fd03101
thaumcraft/api/IGoggles.java,thaumcraft.api,IGoggles,15,9afda330cda7b02b40ed1c615a0d960939afad38
thaumcraft/api/IRepairable.java,thaumcraft.api,IRepairable,9,dd77ab1d9c9078e59dbaa9910d18de604df7ab23
thaumcraft/api/IRepairableExtended.java,thaumcraft.api,IRepairableExtended,16,b40b3571709e79116290629d5b499776c6139d0f
thaumcraft/api/IRunicArmor.java,thaumcraft.api,IRunicArmor,14,529f80898c0410db4a159836a3cf41f52f98ea3c
thaumcraft/api/IScribeTools.java,thaumcraft.api,IScribeTools,9,6e2f67c12053fb6b3aa04052ddec82bcc4c787c7
thaumcraft/api/IVisDiscountGear.java,thaumcraft.api,IVisDiscountGear,16,895b1f245b304719c79494b344912a3ce2f63fa7
thaumcraft/api/IWarpingGear.java,thaumcraft.api,IWarpingGear,15,3ca22988291d16fcea42477f8f6096d91bc772c1
thaumcraft/api/ItemApi.java,thaumcraft.api,ItemApi,59,0ec9a96cb06078c0d820a297a4ca2670bd019c7a
thaumcraft/api/ItemRunic.java,thaumcraft.api,ItemRunic,26,ab0cb7cb90e6104613dd349fabd23ed55d3ca68c
thaumcraft/api/ThaumcraftApi.java,thaumcraft.api,ThaumcraftApi,502,eb5f19fd716a32c86b77851640e04eb1b9a40647
thaumcraft/api/ThaumcraftApiHelper.java,thaumcraft.api,ThaumcraftApiHelper,472,4a56bb5dd82836b5ec3580d533745b2ffd2ae70d
thaumcraft/api/TileThaumcraft.java,thaumcraft.api,TileThaumcraft,65,950a458cc7bba1275eed6ab6c13640f03d816f19
thaumcraft/api/WorldCoordinates.java,thaumcraft.api,WorldCoordinates,122,07da1fa75dfa6e09e517f1dc487cd2e084b2a035
thaumcraft/api/aspects/Aspect.java,thaumcraft.api.aspects,Aspect,205,65a3a16881817c751d583fabcd45a72907bc98cc
thaumcraft/api/aspects/AspectList.java,thaumcraft.api.aspects,AspectList,298,5286ff393b12450dd86efe6eb059c6cc9309dd75
thaumcraft/api/aspects/AspectSourceHelper.java,thaumcraft.api.aspects,AspectSourceHelper,64,b134de3aa5abfc23761809febc22d9c5c9b187dd
thaumcraft/api/aspects/IAspectContainer.java,thaumcraft.api.aspects,IAspectContainer,30,93e24105591fc7c03adfee93cb1fea68201962c6
